year,id,price
2013,UKC,1.5
2013,UKD,1.57
2013,UKE,1.49
2013,UKF,1.6
2013,UKG,1.58
2013,UKH,1.55
2013,UKI,1.6
2013,UKJ,1.58
2013,UKK,1.57
2013,UKL,1.57
2013,UKM,1.49
2013,UKN,1.42
2014,UKC,1.6
2014,UKD,1.6
2014,UKE,1.58
2014,UKF,1.7
2014,UKG,1.6
2014,UKH,1.58
2014,UKI,1.6
2014,UKJ,1.6
2014,UKK,1.65
2014,UKL,1.6
2014,UKM,1.58
2014,UKN,1.6
2015,UKC,1.6
2015,UKD,1.6
2015,UKE,1.58
2015,UKF,1.7
2015,UKG,1.6
2015,UKH,1.58
2015,UKI,1.6
2015,UKJ,1.6
2015,UKK,1.7
2015,UKL,1.6
2015,UKM,1.5
2015,UKN,1.58
2016,UKC,1.5
2016,UKD,1.3
2016,UKE,1.25
2016,UKF,1.5
2016,UKG,1.5
2016,UKH,1.5
2016,UKI,1.5
2016,UKJ,1.39
2016,UKK,1.58
2016,UKL,1.6
2016,UKM,1.3
2016,UKN,1.5
2017,UKC,1.7
2017,UKD,1.5
2017,UKE,1.5
2017,UKF,1.65
2017,UKG,1.6
2017,UKH,1.69
2017,UKI,1.58
2017,UKJ,1.5
2017,UKK,1.7
2017,UKL,1.75
2017,UKM,1.62
2017,UKN,1.72
2018,UKC,1.8
2018,UKD,1.75
2018,UKE,1.8
2018,UKF,1.8
2018,UKG,1.8
2018,UKH,1.8
2018,UKI,1.8
2018,UKJ,1.75
2018,UKK,1.8
2018,UKL,1.85
2018,UKM,1.85
2018,UKN,1.9
2019,UKC,1.8
2019,UKD,1.7
2019,UKE,1.8
2019,UKF,1.85
2019,UKG,1.8
2019,UKH,1.8
2019,UKI,1.8
2019,UKJ,1.7
2019,UKK,1.8
2019,UKL,1.9
2019,UKM,1.85
2019,UKN,1.9
2020,UKC,1.8
2020,UKD,1.7
2020,UKE,1.8
2020,UKF,1.8
2020,UKG,1.8
2020,UKH,1.79
2020,UKI,1.79
2020,UKJ,1.7
2020,UKK,1.8
2020,UKL,1.8
2020,UKM,1.8
2020,UKN,1.9
2021,UKC,1.8
2021,UKD,1.7
2021,UKE,1.7
2021,UKF,1.8
2021,UKG,1.7
2021,UKH,1.79
2021,UKI,1.7
2021,UKJ,1.7
2021,UKK,1.8
2021,UKL,1.8
2021,UKM,1.7
2021,UKN,1.9
2022,UKC,2.15
2022,UKD,2.0
2022,UKE,2.0
2022,UKF,2.0
2022,UKG,2.0
2022,UKH,2.0
2022,UKI,2.03
2022,UKJ,2.0
2022,UKK,2.0
2022,UKL,2.0
2022,UKM,2.0
2022,UKN,2.15
2023,UKC,2.4
2023,UKD,2.0
2023,UKE,2.2
2023,UKF,2.2
2023,UKG,2.2
2023,UKH,2.2
2023,UKI,2.2
2023,UKJ,2.0
2023,UKK,2.2
2023,UKL,2.3
2023,UKM,2.2
2023,UKN,2.45
2024,UKC,2.2
2024,UKD,2.0
2024,UKE,2.0
2024,UKF,2.1
2024,UKG,2.0
2024,UKH,2.1
2024,UKI,2.0
2024,UKJ,2.0
2024,UKK,2.0
2024,UKL,2.1
2024,UKM,2.1
2024,UKN,2.5
2025,UKC,2.65
2025,UKD,2.07
2025,UKE,2.45
2025,UKF,2.6
2025,UKG,2.45
2025,UKH,2.45
2025,UKI,2.45
2025,UKJ,2.2
2025,UKK,2.45
2025,UKL,2.6
2025,UKM,2.48
2025,UKN,2.7
